Month,Dollars
Jan-1992,3519
Feb-1992,3803
Mar-1992,4332
Apr-1992,4251
May-1992,4661
Jun-1992,4811
Jul-1992,4448
Aug-1992,4451
Sep-1992,4343
Oct-1992,4067
Nov-1992,4001
Dec-1992,3934
Jan-1993,3652
Feb-1993,3768
Mar-1993,4082
Apr-1993,4101
May-1993,4628
Jun-1993,4898
Jul-1993,4476
Aug-1993,4728
Sep-1993,4458
Oct-1993,4004
Nov-1993,4095
Dec-1993,4056
Jan-1994,3641
Feb-1994,3966
Mar-1994,4417
Apr-1994,4367
May-1994,4821
Jun-1994,5190
Jul-1994,4638
Aug-1994,4904
Sep-1994,4528
Oct-1994,4383
Nov-1994,4339
Dec-1994,4327
Jan-1995,3856
Feb-1995,4072
Mar-1995,4563
Apr-1995,4561
May-1995,4984
Jun-1995,5316
Jul-1995,4843
Aug-1995,5383
Sep-1995,4889
Oct-1995,4681
Nov-1995,4466
Dec-1995,4463
Jan-1996,4217
Feb-1996,4322
Mar-1996,4779
Apr-1996,4988
May-1996,5383
Jun-1996,5591
Jul-1996,5322
Aug-1996,5404
Sep-1996,5106
Oct-1996,4871
Nov-1996,4977
Dec-1996,4706
Jan-1997,4193
Feb-1997,4460
Mar-1997,4956
Apr-1997,5022
May-1997,5408
Jun-1997,5565
Jul-1997,5360
Aug-1997,5490
Sep-1997,5286
Oct-1997,5257
Nov-1997,5002
Dec-1997,4897
Jan-1998,4577
Feb-1998,4764
Mar-1998,5052
Apr-1998,5251
May-1998,5558
Jun-1998,5931
Jul-1998,5476
Aug-1998,5603
Sep-1998,5425
Oct-1998,5177
Nov-1998,4792
Dec-1998,4776
Jan-1999,4450
Feb-1999,4659
Mar-1999,5043
Apr-1999,5233
May-1999,5423
Jun-1999,5814
Jul-1999,5339
Aug-1999,5474
Sep-1999,5278
Oct-1999,5184
Nov-1999,4975
Dec-1999,4751
Jan-2000,4600
Feb-2000,4718
Mar-2000,5218
Apr-2000,5336
May-2000,5665
Jun-2000,5900
Jul-2000,5330
Aug-2000,5626
Sep-2000,5512
Oct-2000,5293
Nov-2000,5143
Dec-2000,4842
Jan-2001,4627
Feb-2001,4881
Mar-2001,5321
Apr-2001,5290
May-2001,6002
Jun-2001,5811
Jul-2001,5671
Aug-2001,6102
Sep-2001,5482
Oct-2001,5429
Nov-2001,5356
Dec-2001,5167
Jan-2002,4608
Feb-2002,4889
Mar-2002,5352
Apr-2002,5441
May-2002,5970
Jun-2002,5750
Jul-2002,5670
Aug-2002,5860
Sep-2002,5449
Oct-2002,5401
Nov-2002,5240
Dec-2002,5229
Jan-2003,4770
Feb-2003,5006
Mar-2003,5518
Apr-2003,5576
May-2003,6160
Jun-2003,6121
Jul-2003,5900
Aug-2003,5994
Sep-2003,5841
Oct-2003,5832
Nov-2003,5505
Dec-2003,5573
Jan-2004,5331
Feb-2004,5355
Mar-2004,6057
Apr-2004,6055
May-2004,6771
Jun-2004,6669
Jul-2004,6375
Aug-2004,6666
Sep-2004,6383
Oct-2004,6118
Nov-2004,5927
Dec-2004,5750
Jan-2005,5122
Feb-2005,5398
Mar-2005,5817
Apr-2005,6163
May-2005,6763
Jun-2005,6835
Jul-2005,6678
Aug-2005,6821
Sep-2005,6421
Oct-2005,6338
Nov-2005,6265
Dec-2005,6291
Jan-2006,5540
Feb-2006,5822
Mar-2006,6318
Apr-2006,6268
May-2006,7270
Jun-2006,7096
Jul-2006,6505
Aug-2006,7039
Sep-2006,6440
Oct-2006,6446
Nov-2006,6717
Dec-2006,6320
